locality,ward
Sharada Nagar,Vasanthapura
VV Nagar,Vasanthapura
Gokul Nagar,Vasanthapura
Vallabha Nagar,Vasanthapura
Kuvempu Nagar,Vasanthapura
Kailash Nagar,Vasanthapura
Naidu Layout,Vasanthapura
Siddanna Layout,Vasanthapura
Ganapathipura,Vasanthapura
Munireddy Layout,Vasanthapura
Doddakallasandra,Vasanthapura
Ayappa Nagar,Vasanthapura
HBCS 2nd Block,Vasanthapura
BDA Employees Layout,Vasanthapura
Kalyana Nagar,Vasanthapura
Brigade Residency,Vasanthapura
HSR Layout 1 to 4 and 6 to 7 sectors,HSR Layout
Sector 5 (P),HSR Layout
Vinayaka Nagar,HSR Layout
Yellukunte (P),HSR Layout
BDA Layout,HSR Layout
Parangi Palya,HSR Layout
Vanganahalli,HSR Layout
CPW quarters,HSR Layout
Agara,HSR Layout
Ibluru,HSR Layout
Agara kere,HSR Layout
Aralukunte,HSR Layout
Rupena Agrahara,Bommanahalli
Virat Nagar,Bommanahalli
Krishna Reddy Layout,Bommanahalli
Bommanahalli,Bommanahalli
Shamanna Reddy Layout,Bommanahalli
Basappa Layout,Bommanahalli
Seenappa Layout,Bommanahalli
Muneswara Layout (P),Bommanahalli
New Reddy Layout,Bommanahalli
Krishna Layout,Bommanahalli
Sri M Vishveswaraiah Colony,Bommanahalli
Rotary Nagar (P),Bommanahalli
Shivananda Nagar,Jaraganahalli
Bheraveshwar Layout,Jaraganahalli
Chikkaswamy Layout,Jaraganahalli
Mahatma Gandhi Layout,Jaraganahalli
Krishnamaraju Layout,Jaraganahalli
Abbareddy Layout (P),Jaraganahalli
JP Nagar 6th Phase,Jaraganahalli
Govindappa Layout,Jaraganahalli
Honneyappa Layout,Jaraganahalli
Jyothi Layout,Jaraganahalli
Jarganahalli,Jaraganahalli
Sri Swamy Layout,Jaraganahalli
Puttenhalli Kere,Jaraganahalli
JP Nagar 5th phase,Puttenahalli
Ayodhya Nagar,Puttenahalli
Ramaswamy Layout,Puttenahalli
Vinayaka Nagar,Puttenahalli
Anthappa Layout,Puttenahalli
Amalodbhavi Nagar (Doreswamypalya),Puttenahalli
KrishnamRaju Layout,Puttenahalli
Venkatadri Layout,Puttenahalli
Sahyadri Layout,Puttenahalli
Panduranga Nagar,Puttenahalli
Bob Layout,Puttenahalli
Achappa Layout,Puttenahalli
Baroda Bank Colony,Puttenahalli
Puttenhalli,Puttenahalli
Vinayaka Nagar,Puttenahalli
Abbaya Layout (P),Puttenahalli
Kuvempu Nagar,Bilekahalli
Basavalingappa Layout,Bilekahalli
Bilekhalli,Bilekahalli
Anugrah Layout,Bilekahalli
IIM - Ragavendra Colony,Bilekahalli
Sunder Ramshetty Nagar,Bilekahalli
Shanbogh Nagappa Layout,Bilekahalli
Venugopal Layout,Bilekahalli
BTM Layout 4th Stage,Bilekahalli
Vijaya Bank Layout,Bilekahalli
Sri Satya Sai Layout,Bilekahalli
Doctors Layout,Bilekahalli
Rotary Nagar,Bilekahalli
Vijayshree Layout,Bilekahalli
Vakil Maria Layout,Bilekahalli
Kodi Chikkanhalli,Bilekahalli
Virat Nagar,Bilekahalli
Lake City,Bilekahalli
Sarvabhouma Nagar,Bilekahalli
Om Shakti Layout,Hongasandra
NR Reddy Layout,Hongasandra
Nandishwar Layout,Hongasandra
Muniyappa Layout,Hongasandra
MSR Layout,Hongasandra
Munireddy Layout,Hongasandra
Hongasandra,Hongasandra
Mico Layout,Hongasandra
Chamundi Nagar,Hongasandra
SR Naidu Road,Hongasandra
Golden Nagar,Hongasandra
Kaveri Nagar,Hongasandra
Manjunath Industrial Estate,Hongasandra
Madina Nagar,Hongasandra
Mangammanapalya (P),Hongasandra
Mangammanapalya (P),Mangammanapalya
Madina Nagar (P),Mangammanapalya
Gangamma Layout,Mangammanapalya
ITI Layout,Mangammanapalya
Priyanka Layout,Mangammanapalya
Muneshwarappa Layout,Mangammanapalya
Bandepalya,Mangammanapalya
Hosapalya,Mangammanapalya
HSR 2nd sector,Mangammanapalya
Somasamudrapalya,Mangammanapalya
Muneshwar Layout,Mangammanapalya
Abbayya Layout,Mangammanapalya
Munireddy Layout,Mangammanapalya
Lakshmi Layout,Mangammanapalya
Raghavendra Layout,Mangammanapalya
Garebhavi Palya,Mangammanapalya
mkar Nagar,Arakere
Syndicate Bank Colony,Arakere
Srinivaslu Layout,Arakere
Vijayashree Layout,Arakere
Mutturayaswamy Layout,Arakere
Janatha Colony,Arakere
Madhavan Colony,Arakere
Hulimavu,Arakere
Muneshwara Colony,Arakere
Pai Layout,Arakere
Shanthinikethan Housing Colony,Arakere
Arakere Layout,Arakere
BTS Layout,Arakere
Hanuman Nagar,Arakere
Arakere,Arakere
Indira Priyadrshini Colony,Arakere
Samarat Layout,Arakere
Vijaya Layout,Arakere
Jayamaruthi Layout,Arakere
Indira Gandhi Housing Colony,Arakere
Vysya Bank Layout,Arakere
Pavani Shrungeri Nagar,Arakere
Shirdi Sai Nagar,Arakere
Nyanappanhalli,Arakere
Lakshmi Layout,Arakere
Majunath Layout,Arakere
Arkere Mico Layout,Arakere
Brindavan Extn.,Arakere
Hulimavu Kere,Arakere
Abbigere,Shettyhalli
Myadarahalli,Shettyhalli
Chikkasandra,Shettyhalli
Shettihalli,Shettyhalli
Nisarga Layout,Shettyhalli
Abbigere kere,Shettyhalli
Someshwara Layout,Shettyhalli
Achappa Layout,Shettyhalli
Vijayalaxmi Layout,Shettyhalli
Abbigere Dinne,Shettyhalli
Abbigere Layout,Shettyhalli
Muniswamiappa Layout,Shettyhalli
V R Layout,Shettyhalli
Kalyana Nagar,Shettyhalli
Kala Nagar,Shettyhalli
Kammagondanahalli,Shettyhalli
Jalahalli West,Shettyhalli
Raghavendra Layout,Shettyhalli
Subramanya Layout,Shettyhalli
Sri Mahalaxmi Layout,Shettyhalli
Venkateshwara Layout,Shettyhalli
Vinayaka Layout,Shettyhalli
Kempe Gowda Garden,Shettyhalli
S M R Layout,Shettyhalli
Paschima County,Shettyhalli
R R Layout,Shettyhalli
Sandhya Nagar,Shettyhalli
Dasappana Palya,Shettyhalli
Athmiya Geleyara Balaga Layout,Shettyhalli
Sapthagiri Layout,Shettyhalli
Anjanadri Layout,Shettyhalli
M Babanna Layout,Shettyhalli
Mallasandra (P),Shettyhalli
Krishna Nagar,Shettyhalli
Lake View Defence Colony,Shettyhalli
Cauvery Layout,Shettyhalli
Nandana Nagar,Shettyhalli
Brindavana Layout,Shettyhalli
Maruthi Nagar,Shettyhalli
Chikkanna Layout,Shettyhalli
Byraveshwara Nagar,Shettyhalli
Rajanna Layout,Mallasandra
Mallasandra (P),Mallasandra
Ravindra Nagar,Mallasandra
Mathru Layout,Mallasandra
Ayyappa Layout,Mallasandra
BHEL Mini Colony,Mallasandra
Kalayana Nagar,Mallasandra
Prashanth Layout,Mallasandra
Muneswara block,Mallasandra
Sidedahalli,Bagalagunte
NMH Layout,Bagalagunte
Soundarya Layout,Bagalagunte
MHR Layout,Bagalagunte
Siddeshwar Layout,Bagalagunte
Meenakshi Garden Enclave,Bagalagunte
Kirloskar plots,Bagalagunte
Sampangi Layout,Bagalagunte
MEI Employees Housing Colony,Bagalagunte
Bagalakunte,Bagalagunte
Bagalakunte kere,Bagalagunte
Manjunath Nagar,Bagalagunte
Widia Kennametal industry,Bagalagunte
Defence Colony,Bagalagunte
Bhuvaneshwari Nagar,Bagalagunte
Havnoor Extension,Bagalagunte
M S Ramaiah Layout,Bagalagunte
Maheswari Nagar,T-Dasarahalli
T Dasarahalli,T-Dasarahalli
Om Colony,T-Dasarahalli
Vikas Nagara,Chokkasandra
Nagasandra Colony,Chokkasandra
Vidhya Nagar,Chokkasandra
Nagasandra,Chokkasandra
Rukmini Nagar,Chokkasandra
HMT Housing Colony,Chokkasandra
Amaravathi Layout,Chokkasandra
Chokkasandra,Chokkasandra
Netaji Nagar,Chokkasandra
Peenya Industrial Area II Phase,Chokkasandra
Nelagedaranahalli,Chokkasandra
Narayanapura,Chokkasandra
Vinayaka Nagar,Chokkasandra
Gruhalakshmi Housing Colony (P),Chokkasandra
Shivapura,Peenya Industrial Area
Peenya Industrial Area III Phase,Peenya Industrial Area
Dugalamma Colony,Peenya Industrial Area
Parvathi Nagar,Peenya Industrial Area
Rajeshwari Nagar,Peenya Industrial Area
MEI Colony,Peenya Industrial Area
Ganapathi Nagar,Peenya Industrial Area
Peenya I Phase,Peenya Industrial Area
Peenya IV Phase III Stage,Peenya Industrial Area
Gruhalakshmi Housing Colony (P),Peenya Industrial Area
Rajagopal Nagar,Rajagopala Nagar
Byraveshwara Nagar,Rajagopala Nagar
Rajarajeshwari Nagar,Rajagopala Nagar
Kempegowda Housing Society,Rajagopala Nagar
Shambhavi Nagar,Rajagopala Nagar
Doddanna Industrial Estate,Rajagopala Nagar
Indira Priyadarshani Nagar,Rajagopala Nagar
Kapila Nagar,Rajagopala Nagar
Annapoorna Nagar,Rajagopala Nagar
Srigandha Nagar,Rajagopala Nagar
Kareemsab Nagar,Rajagopala Nagar
Maruthi Nagar,Hegganahalli
Bairaveshwara Industrial estate,Hegganahalli
Lakshman Nagar,Hegganahalli
Hegganahalli,Hegganahalli
Sanjeevini Nagar,Hegganahalli
Gajanana Nagar,Hegganahalli
Sunkadakatte,Hegganahalli
Gajendra Nagara,Benniganahalli
Old Bayappanahalli Ambedkar Nagar,Benniganahalli
Mallappa Garden,Benniganahalli
Sanjay Gandhi Nagar,Benniganahalli
Krishnaiahna Palya,Benniganahalli
Income Tax Layout,Benniganahalli
Yarratippaiah Layout,Benniganahalli
NGEF Hosnagara,Benniganahalli
Sadananda Nagar,Benniganahalli
Benniganahalli,Benniganahalli
Rajiv Nagar,Benniganahalli
Kasturi Nagar,Benniganahalli
Chikka Banasavadi,Benniganahalli
Pillareddy Nagar,Benniganahalli
Pulla Reddy Nagar,Benniganahalli
Doctor Layout,Benniganahalli
Lalbahaddur Nagar,Benniganahalli
Ramaiah Reddy Colony,Benniganahalli
B.Channasandra,Benniganahalli
Bacchanna Layout,Benniganahalli
huvaneshwari Nagar,C.V.Raman Nagar
Maruthi Nagar,C.V.Raman Nagar
C V Raman Nagar,C.V.Raman Nagar
Jogapalya (Bairasandra),C.V.Raman Nagar
Abbaiappa Layout,C.V.Raman Nagar
Poojari Lakshmaiah Layout,C.V.Raman Nagar
Seenappa Layout,C.V.Raman Nagar
Patel K Marappa Layout,C.V.Raman Nagar
HAL Officer�s Enclave,C.V.Raman Nagar
Vishvavihar,C.V.Raman Nagar
LRDE Qtrs,C.V.Raman Nagar
Nagavara,C.V.Raman Nagar
Kagdasanapura,C.V.Raman Nagar
Malleshappan palya,C.V.Raman Nagar
Michal Palya,Hosathippasandra
HAL III Stage Seethappa Colony,Hosathippasandra
Venkateshwara Colony,Hosathippasandra
Puttappa Colony,Hosathippasandra
Bhumireddy Colony,Hosathippasandra
Annayappa Colony,Hosathippasandra
LIC Colony,Hosathippasandra
Bairasandra,Hosathippasandra
Krishnappa Garden,Hosathippasandra
KG Colony,Hosathippasandra
Garkamanta palya,Hosathippasandra
Binamangala,Hosathippasandra
BM Kaval,Hosathippasandra
515 Colony,Hosathippasandra
Patel Seethappa Colony,Hosathippasandra
New Tippasandra,Hosathippasandra
Sarvagna Nagar,Sarvagna Nagar
Doddakunte,Sarvagna Nagar
Kathlipalya,Sarvagna Nagar
New Baiappanahalli extension,Sarvagna Nagar
Krishnamurthy Nagar,Sarvagna Nagar
Jayarajanagar,Hoysala Nagar
Lakshmipura,Hoysala Nagar
Indiranagar 2nd Stage,Hoysala Nagar
Shastrinagar,Hoysala Nagar
Hutting Colony,Hoysala Nagar
Defence Colony,Hoysala Nagar
Hoysala Nagar (Murphy Town),Hoysala Nagar
Old Tippasandra,Hoysala Nagar
HAL 2nd stage (P),Hoysala Nagar
HAL 1st and 2nd stage (P),Jeevanbhima Nagar
Kodihalli,Jeevanbhima Nagar
Shivalingaya Colony,Jeevanbhima Nagar
Anandapuram,Jeevanbhima Nagar
Jeevanbhima Nagar,Jeevanbhima Nagar
Sudham Nagar,Jeevanbhima Nagar
Corporation Colony,Konena Agrahara
Muniyellappa Graden,Konena Agrahara
Rustum Bhag Layout,Konena Agrahara
Rustum Bhag,Konena Agrahara
N R Layout,Konena Agrahara
Murgesh Palya,Konena Agrahara
K R Garden,Konena Agrahara
Vinayaka Nagar,Konena Agrahara
Manjunath Layout,Konena Agrahara
Sowmya Layout,Konena Agrahara
Air View Colony,Konena Agrahara
Raviprakash Nagar,Konena Agrahara
MES Colony,Konena Agrahara
Konena Agrahara,Konena Agrahara
Ramagiri Nagar,Konena Agrahara
Sriram Nagar,Konena Agrahara
Amnamma Layout,Konena Agrahara
Muniyappa Layout,Konena Agrahara
Cauvery Nagar,Konena Agrahara
BDA Colony,Konena Agrahara
Nanjappa reddy colony,Konena Agrahara
Lottegollanahalli,Radhakrishna Temple
Venkatachary Nagar,Radhakrishna Temple
HIG North By Outer Ring road colony,Radhakrishna Temple
RMV II stage,Radhakrishna Temple
Dollar apartment,Radhakrishna Temple
Krishna Layout,Radhakrishna Temple
Amarajyothi Layout (P),Radhakrishna Temple
Raj Mahal Vilas 2nd Stage 3rd Block,Radhakrishna Temple
Naidu Layout (P),Radhakrishna Temple
Judicial colony,Radhakrishna Temple
AECS Layout,Radhakrishna Temple
Jaladarshini Layout,Radhakrishna Temple
Geddalahalli,Radhakrishna Temple
Bhupasandra,Sanjay Nagar
Vinayaka Layout,Sanjay Nagar
Excise colony,Sanjay Nagar
RMS colony,Sanjay Nagar
Nagashettihalli,Sanjay Nagar
Yajamana Layout,Sanjay Nagar
AECS Layout,Sanjay Nagar
Sanjaya Nagar,Sanjay Nagar
BPEHCS Layout,Sanjay Nagar
Ramakrishnappa Layout,Sanjay Nagar
Naidu Layout (P),Sanjay Nagar
Amarjyothi Layout (P),Sanjay Nagar
UAS Campus,Ganga Nagar
KEB Layout,Ganga Nagar
UAS Staff Quarters,Ganga Nagar
Vishveshvaraiah Nagar,Ganga Nagar
Reserve Bank Colony,Ganga Nagar
HMT Layout,Ganga Nagar
Ganga Nagar,Ganga Nagar
Venkappa Block,Ganga Nagar
Gundappa Block,Ganga Nagar
Hebbala,Hebbal
Kunti Betta,Hebbal
Chola Nagar,Hebbal
Amar Jyothi Layout,Hebbal
Chowdaiah Block,Hebbal
Anand Nagar Colony,Hebbal
UAS Quarters (P),Hebbal
MSH Layout,Hebbal
Anand Nagar,Hebbal
Gosaiya Slum,Vishwanathnagenahalli
Guddahalli,Vishwanathnagenahalli
V Nagenahalli,Vishwanathnagenahalli
Yagappa Layout,Vishwanathnagenahalli
Kanakanagar,Vishwanathnagenahalli
IOE Layout,Vishwanathnagenahalli
Cholanayakanahalli,Vishwanathnagenahalli
Manorayanapalya (P),Vishwanathnagenahalli
Bhuvaneshwari Nagar,Manorayanapalya
Chamundi Nagar,Manorayanapalya
Dasappa Garden,Manorayanapalya
Manorayanapalya (P),Manorayanapalya
Kauser Nagar,Manorayanapalya
HMT Layout,Manorayanapalya
P & T Colony,Manorayanapalya
Rahamat Nagar,Manorayanapalya
Anandppa Block,Manorayanapalya
Ganganagar,Gangenahalli
Dena Bank Colony,Gangenahalli
Papanna block,Gangenahalli
Gangenahalli Extension,Gangenahalli
Mathadhalli Layout,Gangenahalli
RT Nagar,Jayachamarajendra Nagar
Hanumanthappa Layout,Jayachamarajendra Nagar
Chunchappa Block,Jayachamarajendra Nagar
JC Nagar,Jayachamarajendra Nagar
Anwar block,Kushal Nagar
Ashok Nagar,Kushal Nagar
Kushal Nagar,Kushal Nagar
Kadugondanahalli (P),Kushal Nagar
P and T Colony,Kushal Nagar
Chikkanna Layout,Kushal Nagar
Muslim Colony,Kushal Nagar
Muneshwar Nagar,Kushal Nagar
Ranka Nagar,Kavalbyrasandra
P and Colony (P),Kavalbyrasandra
Srinivasa Layout,Kavalbyrasandra
Quaters Colony,Kavalbyrasandra
Bheemanna Layout,Kavalbyrasandra
MM Layout,Kavalbyrasandra
Ratan Singh Layout,Kavalbyrasandra
Kaval Bairasandra,Kavalbyrasandra
Nagappa Layout,Kavalbyrasandra
AMC Layout,Kavalbyrasandra
Muniveerappa Layout,Kavalbyrasandra
HBR Layout 2nd Stage,Kavalbyrasandra
Anand Layout,Kavalbyrasandra
Shamannagowda Layout,Kavalbyrasandra
Adarsh Nagar,Kavalbyrasandra
Pioneer Defence Housing Colony,Kavalbyrasandra
Appajappa Layout,Kavalbyrasandra
Shampura New Extension,Kavalbyrasandra
Ananda Gokula Layout,Kavalbyrasandra
Krishnappa Layout,Kavalbyrasandra
Kaveri Nagar,Kavalbyrasandra
Sultanpalya,Kavalbyrasandra
Modi Garden,Devarajeevanahalli
Bangaragiri Layout,Devarajeevanahalli
Doddanna Nagar,Devarajeevanahalli
Devara Jeevanahalli,Devarajeevanahalli
Military area,Devarajeevanahalli
Muneshwara Nagar,Muneshwara Nagar
Muneshwara Nagar A block,Muneshwara Nagar
Ambedkar Nagar,Muneshwara Nagar
Periyar Nagar,Muneshwara Nagar
Periyar Nagar AK colony,Muneshwara Nagar
Bagalur Layout,Sagayapuram
Sagayapuram,Sagayapuram
Richords town,Sagayapuram
Lazar Layout,Sagayapuram
Waheed Garden,S.K.Garden
Pottery town,S.K.Garden
SK Garden,S.K.Garden
Devarajivanahalli (P),S.K.Garden
ITI Colony,S.K.Garden
Pulikeshinagar,Pulikeshi Nagar
Frazer Town,Pulikeshi Nagar
Claveland Town,Pulikeshi Nagar
Sindhi Colony,Pulikeshi Nagar
Railway Quarters (P),Pulikeshi Nagar
Govindapura,Nagavara
Byrappa Layout,Nagavara
Irshad Nagar,Nagavara
Nagavara,Nagavara
Nanjappa Layout,Nagavara
Shampura (P),Nagavara
Gandhi Nagar,Nagavara
Kadugondanahalli,Nagavara
Hidayath Nagar,Nagavara
Byraveshawar Layout,HBR Layout
Choudappa Layout,HBR Layout
North Hennuru,HBR Layout
Punappa Layout,HBR Layout
HRBR layout 1st East block,HBR Layout
HBR layout 2nd (P) - 3rd - 4th and 5th blocks,HBR Layout
Nanjappa layout,HBR Layout
Chennaiah layout,HBR Layout
HRBR Layout 1st and 2nd (P) blocks,Banasawadi
PNS Layout,Banasawadi
Subbayya playa extention,Banasawadi
Chowdeshwari Layout,Banasawadi
Jai Jawan Nagar,Banasawadi
Yerra Reddy Layout,Banasawadi
Ex-Servicemen colony,Banasawadi
Ramaiah Layout,Banasawadi
Banasvadi,Banasawadi
Dodda Banasvadi,Banasawadi
Annaiah Reddy Layout,Banasawadi
Vijaya Bank colony,Banasawadi
OMBR Layout,Banasawadi
Kammanahalli,Kammanahalli
Ramaswamy Palya,Kammanahalli
Subbayya Palya,Kammanahalli
Maruthi Seva Nagar (P),Kammanahalli
Kariyanna Palya,Kacharakanahalli
St. Thomas Town,Kacharakanahalli
Kammanahalli,Kacharakanahalli
Indra Nagar,Kacharakanahalli
Nagadevi Industrial area,Kacharakanahalli
Sena Vihar,Kacharakanahalli
Sait Palya,Kacharakanahalli
HBR 2nd - 3rd Layout,Kacharakanahalli
Keshav Nagar,Kacharakanahalli
Kacharkanahalli,Kacharakanahalli
Jalavayu vihar,Kacharakanahalli
Kalyana Nagar,Kacharakanahalli
Kadugondanahalli,Kadugondanahalli
HRBR Layout 1st block,Kadugondanahalli
Narasimha Layout KG Halli,Kadugondanahalli
Venkateshpura,Kadugondanahalli
Pillanna Garden,Kadugondanahalli
Lingarajapura,Lingarajapura
Ramaswamy Palya,Lingarajapura
BL Rice Nagar (St. Thomas town),Maruthiseva Nagar
Balaji Layout,Maruthiseva Nagar
D�Costa Square,Maruthiseva Nagar
Cooks town,Maruthiseva Nagar
Vivekananda Nagar,Maruthiseva Nagar
Jai Bharathi Nagar,Maruthiseva Nagar
Sanjeevappa Layout,Maruthiseva Nagar
Jeevanahalli,Maruthiseva Nagar
ITC Colony,Maruthiseva Nagar
KHB Colony,Maruthiseva Nagar
Sathya Nagar,Maruthiseva Nagar
Maruthi Seva Nagar (P),Maruthiseva Nagar
Linagayanapalya,Jogupalya
Jogupalya,Jogupalya
Saraswatipura,Jogupalya
G Street Laxamma Layout,Jogupalya
Nandanavanam Streets,Jogupalya
Doddayya Layout,Jogupalya
Someswarapura Layout (p),Jogupalya
Motappa Palya,Jogupalya
Appareddy Palya,Jogupalya
Shammana layout,Jogupalya
Shantala Nagar,Shanthala Nagar
